question,human_response,House of Spencer_without examples,House of Spencer_base,House of Spencer_fine-tuned_without_examples,House of Spencer_fine-tuned_with_examples,grade_without_examples,grade_base,grade_fine-tuned_whithout_examples,grade_fine-tuned_with_examples
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Para contratar un plan, puedes agendar tus clases a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si necesitas más ayuda, ¡dímelo! 💪😊","¡Hola! 😊 Me alegra que hayas disfrutado la clase. Para contratar un plan, descarga la app BoxMagic en tu celular o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?","¡Hola! Me alegra saber que te gustó la clase de prueba! 😊 Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás buscar nuestro centro y elegir el plan que más te guste. 🏋️\u200d♂️ ¿Necesitas ayuda con algo más?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,4,5,4,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy de House of Spencer. Para contratar un plan, puedes usar la app BoxMagic o ingresar a https://auth.boxmagic.cl/. Ahí podrás elegir el plan que más te guste. ¡Estamos aquí para ayudarte! 💪","¡Hola! 😊 Me alegra que hayas disfrutado la clase. Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?","¡Hola! Nos alegra saber que te gustó la clase! 😊 Puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para crear una cuenta y comprar un plan de clases. 🏋️\u200d♀️ Si necesitas ayuda, estoy aquí para ayudarte.",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,4,5,4,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! Soy House of Spencer. En nuestro centro ofrecemos clases semi personalizadas, pero no contamos con un espacio para entrenar por cuenta propia. ¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento, no contamos con servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲",¡Hola! 😊 En House of Spencer ofrecemos clases guiadas de entrenamiento funcional. No contamos con el servicio de Open Gym. 🏋️\u200d♂️ Recuerda que nuestros profes pueden modificar los ejercicios según tu nivel y necesidades. ¿Te gustaría agendar una clase de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,¡Hola! 😊 Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,4,5,1,4
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! Soy House of Spencer. En nuestro centro ofrecemos clases semi personalizadas de entrenamiento funcional. No disponemos de un espacio para entrenar por cuenta propia. Si tienes más dudas, estoy aquí para ayudarte. 😊","¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento, no contamos con el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲",¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas para garantizar un entrenamiento seguro y efectivo. 🚀 No contamos con el servicio de Open Gym. ¿Te gustaría agendar una clase de prueba gratuita? 📲 https://boxmagic.cl/sp/HouseofSpencer24,¡Hola! 😊 Gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,4,4,4,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! Soy House of Spencer. En nuestro centro ofrecemos clases semi personalizadas, pero no contamos con un espacio para entrenar de manera independiente. Si tienes más dudas, ¡pregunta!","¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento, no contamos con el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲","¡Hola! 😊 En HOS ofrecemos clases guiadas y semi personalizadas. No contamos con el servicio de open gym, pero nuestros profes están siempre listos para ayudarte en tus objetivos. 🏋️\u200d♂️ ¿Te gustaría unirte a una de nuestras clases? Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24.",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,1,4,4,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! Soy House of Spencer. En nuestro centro ofrecemos clases semi personalizadas, pero no contamos con un espacio para entrenar por cuenta propia. Si deseas más información, no dudes en preguntar.","¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento, no contamos con servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲",¡Hola! 😊 En House of Spencer ofrecemos clases guiadas de entrenamiento funcional. No tenemos la opción de entrenamiento libre. 🏋️\u200d♂️ ¿Te gustaría agendar una clase de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,¡Hola! 😊 Gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,3,5,4,5
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, necesitas una orden médica para que las sesiones de kinesiología sean reembolsables. Si tienes más dudas, ¡pregunta sin problema!","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,4,2,4
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, necesitas una orden médica para reembolsar las sesiones de kinesiología. Si tienes más dudas, ¡pregunta!","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,4,1,4
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, necesitas una orden médica para que las sesiones de kinesiología sean reembolsables. Si tienes más dudas, ¡pregúntame! 😊","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,4,1,4
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, necesitas una orden médica para que las sesiones de kinesiología sean reembolsables. ¿Tienes alguna otra duda?","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,4,1,4
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪","¡Hola! Soy de House of Spencer. Somos un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento para evitar lesiones y mejorar la eficiencia física. Ofrecemos clases semi personalizadas, masoterapia y asesorías en nutrición.","¡Hola! 😊 House of Spencer es un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento. 🏋️\u200d♀️ Ofrecemos clases semi personalizadas, servicios de nutrición y masoterapia para ayudarte a evitar lesiones y alcanzar tus objetivos. ¿Te gustaría saber más?",¡Hola! 😊 Somos un centro de entrenamiento funcional en Providencia. 🏋️\u200d♂️ Ofrecemos clases semi personalizadas y un servicio integral de nutrición y masajes. 🍏💆\u200d♂️ ¿En qué puedo ayudarte hoy?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪",1,5,1,5
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪","¡Hola! Soy de House of Spencer. Somos un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento para evitar lesiones y mejorar la eficiencia física. Ofrecemos clases semi personalizadas, masoterapia y nutrición deportiva.","¡Hola! 😊 House of Spencer es un centro de entrenamiento en Providencia, especializado en mejorar la biomecánica y enseñar movimiento para evitar lesiones. Ofrecemos clases semi personalizadas, masoterapia y asesorías en nutrición. 🏋️\u200d♀️ ¿Te gustaría saber más?","¡Hola! 😊 Somos un centro de entrenamiento funcional en Providencia. 💪 Ofrecemos clases semi personalizadas, masoterapia y nutrición. 🍏 ¿En qué puedo ayudarte hoy?","¡Hola! 😊 Gracias por contactarnos. En House of Spencer tenemos un espacio de entrenamiento en Providencia. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪 ¿Necesitas más información?",1,5,1,4
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪","¡Hola! Soy House of Spencer. Somos un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento para evitar lesiones y mejorar la eficiencia física. Ofrecemos clases semi personalizadas, masoterapia y asesorías en nutrición.",¡Hola! 😊 En House of Spencer somos un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento. 🏋️\u200d♀️ Nuestro objetivo es evitar lesiones y mejorar tu eficiencia física. También ofrecemos servicios de nutrición y masoterapia. ¿Te gustaría saber más?,"¡Hola! 😊 Somos un centro de entrenamiento funcional en Providencia. 🏋️\u200d♂️ Ofrecemos clases semi personalizadas, masajes y nutrición. 🍏 ¿En qué puedo ayudarte hoy?","¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪",1,5,1,5
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪","¡Hola! Soy House of Spencer. Somos un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento para evitar lesiones y mejorar la eficiencia física. Ofrecemos clases semi personalizadas, masoterapia y asesorías en nutrición. ¡Estoy aquí para ayudarte!",¡Hola! 😊 House of Spencer es un centro de entrenamiento en Providencia que se enfoca en mejorar la biomecánica y enseñar movimiento. 🏋️\u200d♀️ Ayudamos a evitar lesiones y alcanzar tus objetivos de fitness de manera integral. ¿Te gustaría saber más sobre nuestros servicios?,"¡Hola! 😊 Somos un centro de entrenamiento funcional en Providencia, Santiago. 🏋️\u200d♂️ Ofrecemos clases semi personalizadas y un servicio integral de masajes y nutrición. 🍏💆\u200d♂️","¡Hola! 😊 Gracias por contactarnos. En House of Spencer tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪 ¿Te gustaría saber más sobre nuestros servicios?",1,5,1,4
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Nuestros profes que hacen clases en la mañana son Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen, y Fabián Vega. Si tienes más preguntas, ¡aquí estoy! 😊","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?","Nuestros profes en las mañanas son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes son kinesiólogos, por lo que nuestras sesiones son reembolsables con orden médica. 📝","¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Te puedo ayudar con algo más?",1,5,1,5
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Nuestros profes que hacen clases en la mañana son Nicolás Spencer, Vane Jenkin y Rolo Flores. Si necesitas más información, ¡dímelo! 😊","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?","En las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Fabián Vega. 💪 Recuerda que nuestros profes son todos kinesiólogos, por lo que nuestras clases son reembolsables con orden médica. 📝 ¿Necesitas información adicional?","¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Te gustaría saber algo más?",1,5,1,5
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Nuestros profes que hacen clases en la mañana son Nicolás Spencer, Vane Jenkin y Rolo Flores. Si tienes más preguntas, ¡aquí estoy! 😊","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 ¿Te gustaría más información sobre nuestras clases?","Nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen, Fabián Vega y Fabián Vega. 🔥 Recuerda que todos nuestros profes son kinesiólogos, por lo que nuestras clases son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Te gustaría saber algo más?",1,5,1,5
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Nuestros profes que hacen clases en la mañana son Nicolás Spencer, Vane Jenkin y Rolo Flores. Si tienes más dudas o necesitas agendar, ¡avísame! 😊","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Si necesitas más información, aquí estoy para ayudarte.","Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Fabián Vega. 🚀  Recuerda que nuestros profes pueden modificar sus horarios, pero siempre hay un profesional que puede ayudarte en tu camino del deporte. 🏃\u200d♂️","¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Puedo ayudarte con algo más?",1,5,1,5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Las clases PM son impartidas por nuestros kinesiólogos: Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen y Fabián Vega. ¿Te gustaría saber más sobre los horarios o agendar una clase?","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?","Nuestros profes que hacen clases PM son Nicolás Spencer, Vane Jenkin, Rolo Flores y Fabián Vega. 🔥 Recuerda que todos nuestros profes pueden modificar los horarios y días, pero en HOS siempre podrás contar con un profesional experto que te ayudará en tu camino del deporte y recuperación. 🚀","Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Necesitas ayuda con algo más?",1,5,1,5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Las clases PM son impartidas por nuestros kinesiólogos: Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen y Fabián Vega. Si tienes más dudas, ¡pregunta! 😊","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Si necesitas más información, ¡dímelo!","Los profes que hacen clases PM son Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen, Fabián Vega y yo. 🔥 Recuerda que nuestras clases son semi personalizadas, por lo que los profes pueden cambiar en cada clase.","¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Necesitas información adicional?",1,5,1,5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! Soy House of Spencer. Las clases PM son impartidas por nuestros kinesiólogos: Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen y Fabián Vega. Si necesitas más información, ¡pregunta!","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?","¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Tomás Paulsen y Fabián Vega. 🏋️\u200d♂️","¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Te gustaría saber algo más?",1,5,1,5
